age,income,debt_to_income_ratio,credit_utilization,late_payments,credit_history_years,loan_amount,months_employed,savings_balance,existing_loans,monthly_debt_payment,employment_status,risk_flag,credit_score
42,133540.21,0.3949,0.4469,0,8,4128.2,14,11102.83,1,393.76,Unemployed,1,631.47
40,57806.78,0.2746,0.2245,1,13,10038.92,97,26572.28,1,472.95,Full-time,1,767.33
62,101871.04,0.1049,0.0974,1,15,12756.17,72,17549.17,1,441.85,Full-time,0,829.18
66,115196.05,0.2053,0.4823,3,6,41723.13,4,7908.68,4,281.75,Full-time,1,596.17
66,64299.72,0.1287,0.3606,1,3,15128.65,98,3196.21,1,514.63,Self-employed,1,777.91
56,60184.88,0.4521,0.3686,0,12,57425.48,111,46561.26,2,175.0,Part-time,1,714.72
44,57063.84,0.4066,0.6141,2,2,23401.83,38,44707.13,0,826.76,Full-time,1,556.16
46,58975.63,0.6454,0.2312,1,13,5376.57,157,4039.28,4,405.86,Part-time,1,704.41
67,97188.53,0.3686,0.3387,0,9,37566.66,58,23500.95,0,47.25,Part-time,1,703.08
34,73420.21,0.1972,0.143,1,17,34931.42,59,16596.71,1,1340.6,Full-time,1,779.26
37,73561.74,0.3992,0.4813,1,6,5203.05,165,23898.29,1,439.84,Part-time,1,722.42
63,39880.77,0.3709,0.2889,1,14,27984.94,151,48545.45,5,187.52,Full-time,1,767.34
39,42814.39,0.4167,0.156,0,1,46281.08,70,44867.0,2,624.02,Part-time,1,744.32
32,173607.29,0.3442,0.2745,1,1,3757.18,166,20545.63,1,200.36,Self-employed,1,791.45
47,61082.36,0.4937,0.3957,0,8,7923.27,108,10859.53,2,243.64,Self-employed,1,692.96
36,46693.14,0.2657,0.3506,0,11,32767.26,47,10357.68,1,325.21,Full-time,1,721.81
62,125994.64,0.3949,0.2148,1,3,14893.73,83,11092.81,2,170.25,Full-time,1,722.0
63,75117.88,0.2836,0.4631,1,11,47628.82,86,136004.68,1,445.17,Unemployed,1,695.81
35,85833.93,0.32,0.3541,0,12,32860.74,9,13883.1,1,212.43,Full-time,1,672.98
45,62185.6,0.2954,0.2558,1,3,30383.42,58,25920.55,3,720.12,Full-time,1,720.76
67,57331.02,0.3708,0.3165,0,15,38517.55,119,19027.33,2,239.86,Full-time,1,758.8
55,61309.26,0.3971,0.4937,0,13,9589.22,53,5762.15,1,99.36,Part-time,1,651.61
31,35517.04,0.4204,0.3098,2,6,13696.35,109,20052.25,3,402.4,Unemployed,1,687.26
48,63604.07,0.2882,0.3945,1,7,66444.4,4,7608.78,0,291.63,Self-employed,1,643.25
50,75600.25,0.3513,0.1955,1,5,13314.97,42,5975.74,0,450.88,Part-time,1,705.74
51,152163.13,0.3161,0.1421,1,11,36603.66,43,22138.87,3,673.42,Full-time,1,730.48
22,68782.15,0.21,0.4718,1,12,14815.58,117,4560.01,0,170.78,Full-time,1,741.55
35,23147.0,0.2647,0.5033,1,5,9952.93,143,28166.9,4,896.1,Full-time,1,738.93
61,63430.91,0.3957,0.4008,4,10,8527.46,73,21691.39,0,594.61,Full-time,1,591.92
32,227016.25,0.5816,0.1077,0,4,25063.87,162,39151.05,3,172.28,Full-time,1,783.6
35,97720.32,0.2138,0.1822,1,8,42404.23,175,20090.0,1,146.65,Full-time,1,850.0
36,45940.39,0.3259,0.4985,2,7,23973.72,54,5929.77,0,606.66,Unemployed,1,622.6
29,86335.65,0.5346,0.1951,0,7,20340.37,76,34443.4,2,871.81,Full-time,1,704.18
28,47386.56,0.2283,0.3872,2,4,7620.13,9,35988.23,1,324.87,Full-time,1,642.21
37,35982.45,0.2666,0.5225,1,1,17038.15,66,28550.89,3,75.95,Part-time,1,669.4
62,56569.98,0.4111,0.0836,1,17,19320.15,135,24912.67,5,584.45,Self-employed,1,793.27
21,68953.45,0.4048,0.2067,2,7,9197.73,145,3803.88,2,833.83,Full-time,1,747.72
34,28496.31,0.669,0.2158,1,13,23077.14,127,27655.44,1,153.76,Full-time,1,676.18
23,39453.51,0.3489,0.2526,3,15,10514.39,84,4620.33,1,209.02,Self-employed,1,677.18
47,66479.64,0.3781,0.1919,0,1,12940.37,53,7876.33,2,407.95,Full-time,1,732.76
32,55067.89,0.3325,0.2571,1,7,29274.97,91,6588.49,1,538.61,Part-time,1,736.81
58,79036.5,0.3726,0.4268,1,7,52180.58,147,3521.64,2,473.97,Full-time,1,729.02
48,38307.43,0.1396,0.4376,1,11,49093.46,163,15533.57,0,130.09,Full-time,1,809.55
57,91249.35,0.4137,0.3857,0,16,15438.13,137,13011.38,0,348.23,Full-time,1,743.63
50,38843.98,0.3299,0.3155,2,12,25040.59,81,41315.48,3,245.2,Part-time,1,689.66
41,138583.79,0.5561,0.3955,4,11,26604.32,19,37216.75,2,905.69,Part-time,1,500.13
61,30574.11,0.272,0.6006,0,4,26495.03,135,15527.34,2,453.07,Self-employed,1,730.75
43,40471.39,0.2853,0.4968,0,9,18665.79,89,26105.4,2,208.45,Self-employed,1,714.38
65,79842.95,0.4658,0.5023,1,13,42318.58,12,12227.15,2,245.23,Full-time,1,569.68
67,139931.03,0.4622,0.6179,3,10,11124.46,32,12162.46,2,215.39,Full-time,1,508.53
48,76249.75,0.5627,0.4988,2,11,7688.88,179,14864.87,0,113.89,Unemployed,1,655.66
52,85245.11,0.7249,0.42,2,6,21899.8,32,11753.17,1,171.85,Self-employed,1,504.2
33,66695.42,0.4352,0.1789,0,8,13748.42,77,15998.56,2,278.67,Unemployed,1,738.88
59,41694.34,0.2257,0.1478,1,7,65428.66,69,23480.47,1,297.93,Full-time,1,777.84
52,53073.75,0.344,0.2525,2,9,12347.24,89,4737.57,0,460.92,Self-employed,1,707.84
63,38355.02,0.1838,0.4195,1,4,35271.21,31,9443.75,2,322.03,Part-time,1,690.82
33,37219.22,0.1758,0.4059,0,12,23828.35,69,25835.22,0,571.39,Part-time,1,753.28
58,79283.63,0.5675,0.2384,3,13,6424.59,149,8340.46,0,320.17,Unemployed,1,669.32
43,39917.49,0.2654,0.1687,3,13,25924.1,21,8491.07,2,494.31,Full-time,1,670.7
29,76404.69,0.4014,0.1885,0,5,10844.09,81,31670.34,2,224.76,Part-time,1,749.96
29,36834.12,0.3548,0.4595,1,8,91999.16,147,7122.7,1,668.0,Self-employed,1,726.18
47,75612.16,0.4342,0.2114,3,8,9850.38,157,19311.06,2,495.05,Part-time,1,722.72
36,53108.53,0.3199,0.3172,2,15,8973.55,158,15174.04,3,255.59,Full-time,1,756.4
25,124614.09,0.3305,0.1904,0,16,3715.85,99,28408.62,2,374.32,Full-time,1,785.75
41,76548.02,0.5519,0.2798,0,9,10015.91,9,12629.81,1,250.05,Full-time,1,621.98
51,115393.38,0.5588,0.2089,3,7,28467.07,109,6823.16,1,334.87,Full-time,1,645.97
35,47096.74,0.3893,0.4043,0,1,8316.95,169,7674.31,4,211.38,Part-time,1,772.97
65,67864.24,0.2688,0.3326,0,6,24551.23,103,54583.55,2,738.82,Full-time,1,772.04
57,42553.22,0.3994,0.1884,2,2,20512.71,122,8488.06,1,818.39,Part-time,1,734.75
45,54933.45,0.207,0.4307,0,8,8649.58,35,8029.38,1,631.57,Full-time,1,709.39
64,58809.17,0.4376,0.1153,0,7,15754.86,131,9023.46,1,267.63,Full-time,1,799.06
41,47732.31,0.5957,0.443,0,5,8858.39,27,10614.55,2,290.95,Part-time,1,583.04
27,38293.05,0.3173,0.318,0,17,31240.38,68,9443.73,3,85.99,Self-employed,1,731.98
22,35028.5,0.6677,0.3316,1,13,4783.21,55,21589.2,2,177.08,Part-time,1,587.62
65,23089.04,0.362,0.3542,0,11,28687.14,8,14565.02,2,950.0,Full-time,1,659.52
66,41136.21,0.4369,0.189,3,12,10330.65,121,8089.46,3,904.39,Self-employed,1,697.51
55,87760.98,0.5051,0.2617,1,6,18579.14,23,24690.21,5,750.31,Self-employed,1,627.21
25,32230.73,0.334,0.2122,0,5,23725.36,156,16973.87,2,784.47,Unemployed,1,826.75
34,35751.4,0.2182,0.1444,2,15,18901.24,152,41270.07,0,158.78,Full-time,1,825.11
22,148138.71,0.3102,0.1295,2,8,72506.4,30,17481.96,2,595.37,Full-time,1,699.56
23,49690.88,0.3929,0.1541,1,13,12781.76,90,11981.12,1,553.22,Part-time,1,743.6
32,76456.0,0.5646,0.2497,0,10,6569.48,17,11237.51,2,620.14,Part-time,1,632.36
47,88348.34,0.3071,0.3402,0,1,78369.27,37,15114.04,1,1050.71,Full-time,1,703.65
24,89155.45,0.3939,0.2743,0,15,22207.69,152,18250.6,2,86.94,Full-time,1,789.92
67,33354.85,0.5319,0.4603,2,1,19075.48,62,13336.44,1,93.12,Full-time,1,577.02
42,59636.5,0.3333,0.3968,0,6,82345.3,66,9185.46,0,187.63,Self-employed,1,705.81
33,31945.86,0.6208,0.4087,5,13,6870.88,163,22757.61,0,146.72,Full-time,1,572.42
45,198956.81,0.3033,0.1651,0,10,16210.79,47,19304.72,3,327.57,Part-time,1,756.9
58,32283.33,0.1815,0.511,1,15,8043.58,39,13573.13,2,461.0,Full-time,1,675.3
35,41293.98,0.3701,0.3859,1,16,15941.68,4,23580.06,0,535.93,Full-time,1,620.83
23,41428.72,0.2429,0.1511,0,13,6321.43,144,12520.09,3,111.88,Part-time,1,850.0
23,33742.14,0.2242,0.2357,1,5,18355.98,38,13498.56,2,241.92,Full-time,1,730.48
61,121621.28,0.397,0.4512,1,1,17453.26,79,22852.25,2,452.5,Unemployed,1,658.93
26,196831.15,0.3354,0.113,1,13,16843.86,10,26390.74,0,362.36,Full-time,1,704.46
50,53418.53,0.6387,0.3785,0,6,3526.85,94,23279.68,1,308.81,Self-employed,1,642.1
39,36527.09,0.2019,0.3085,1,12,29568.64,125,6975.19,2,711.33,Part-time,1,791.47
57,24182.48,0.2263,0.38,1,9,14707.3,60,18388.44,3,253.1,Self-employed,1,712.11
23,59287.34,0.4796,0.3661,1,3,108863.75,15,13863.06,1,921.31,Self-employed,1,602.1
63,57390.59,0.193,0.1142,2,7,12451.92,40,18640.01,1,196.17,Self-employed,1,746.88
53,49361.04,0.3989,0.4907,0,17,11095.76,136,62946.19,0,208.92,Full-time,1,720.99
42,73102.57,0.2071,0.3267,0,6,19399.1,158,11170.92,2,479.1,Full-time,1,837.86
30,79049.37,0.5144,0.4085,1,14,7308.18,124,13612.19,4,276.21,Part-time,1,671.89
66,76526.13,0.2984,0.1257,1,12,40897.17,166,8280.83,0,283.58,Full-time,1,842.39
35,57396.8,0.2878,0.2451,2,8,9024.32,8,11350.38,1,242.35,Full-time,1,659.05
44,40306.59,0.3069,0.1623,2,13,9733.23,140,7511.69,3,447.91,Full-time,1,784.02
39,89288.22,0.3238,0.539,2,10,31338.94,178,5366.61,1,96.26,Self-employed,1,716.44
31,66544.83,0.1846,0.4689,2,11,20916.47,158,2534.36,2,197.27,Self-employed,1,759.06
40,98692.17,0.2669,0.1927,1,7,20638.43,176,7397.91,3,294.12,Full-time,1,843.42
28,94422.44,0.16,0.3658,2,17,6961.67,93,7843.98,4,500.85,Unemployed,1,738.05
21,34898.78,0.2056,0.1245,4,5,35593.55,170,12708.25,3,259.03,Self-employed,1,798.86
34,34703.65,0.3361,0.1968,1,10,8761.38,81,8447.53,3,1073.2,Full-time,1,742.47
26,47098.98,0.3095,0.4443,3,16,5390.9,46,32132.48,2,550.81,Part-time,1,609.41
40,41137.71,0.5762,0.0972,1,13,23359.86,155,16199.56,0,493.34,Part-time,1,757.01
61,92954.3,0.1929,0.2755,3,10,15515.33,121,25102.86,0,370.05,Unemployed,1,749.09
28,77504.35,0.598,0.2849,1,2,15253.63,124,30809.71,4,424.93,Part-time,1,677.71
21,108513.82,0.356,0.4891,2,7,28807.75,82,43430.83,2,321.04,Full-time,1,639.26
26,79096.12,0.5168,0.2073,2,8,14417.62,179,30547.98,2,539.89,Full-time,1,742.3
44,72685.15,0.3446,0.631,1,15,5300.5,62,6302.89,0,643.02,Self-employed,1,615.54
33,113536.36,0.5506,0.272,5,15,14217.17,111,27731.79,1,393.76,Unemployed,1,584.32
44,81746.42,0.48,0.1552,0,8,22059.63,78,17541.07,0,1075.07,Self-employed,1,732.2
22,68230.4,0.3063,0.0653,3,7,20430.24,62,41962.43,2,254.79,Self-employed,1,718.45
36,128824.19,0.2156,0.3757,0,4,15908.98,126,13655.84,5,911.42,Unemployed,1,796.4
40,69691.34,0.1469,0.2684,0,9,97512.11,26,35342.35,1,546.06,Self-employed,1,760.5
41,57701.98,0.383,0.1122,1,3,57627.75,22,14543.53,0,320.49,Unemployed,1,700.38
46,45386.93,0.2755,0.3504,1,3,7781.0,117,15044.8,2,279.81,Full-time,1,752.25
57,90795.18,0.4493,0.2297,0,16,6914.8,81,23532.13,0,98.66,Self-employed,1,725.29
42,115459.23,0.6079,0.3639,1,10,45625.36,28,10225.21,0,707.75,Part-time,1,574.99
60,64681.83,0.4243,0.1846,3,7,38016.04,168,21370.48,3,893.83,Full-time,1,741.56
45,119200.48,0.2038,0.2818,0,8,50801.02,168,3674.82,2,463.79,Full-time,1,850.0
33,27268.66,0.2552,0.2956,2,7,13214.71,111,20151.19,0,245.43,Full-time,1,742.04
31,64540.36,0.3545,0.2859,1,15,16118.92,69,4532.21,1,177.45,Full-time,1,704.68
36,64987.96,0.5219,0.3499,2,10,5193.72,165,21400.81,3,482.98,Full-time,1,693.46
49,47707.91,0.3562,0.2955,1,11,19945.33,38,941.45,1,461.77,Full-time,1,675.93
32,193442.86,0.4849,0.3194,1,10,11532.09,7,2857.12,1,352.12,Full-time,1,605.51
63,64229.21,0.2146,0.211,0,10,10441.56,110,13973.75,4,384.39,Full-time,1,824.54
43,55078.85,0.2598,0.1527,1,8,34427.82,103,14183.7,4,570.92,Unemployed,1,794.72
61,66948.77,0.5365,0.133,2,14,16169.06,52,10777.55,3,421.77,Full-time,1,649.13
53,26869.14,0.2972,0.4444,0,16,32124.18,126,24687.47,1,396.1,Self-employed,1,754.74
36,47007.36,0.392,0.1701,0,6,16721.66,44,29514.72,3,511.7,Full-time,1,726.54
31,102997.29,0.5347,0.152,0,6,26468.66,62,114837.21,1,969.96,Full-time,1,703.26
55,49860.01,0.2679,0.7633,2,13,7195.69,28,13868.4,0,156.47,Self-employed,1,552.14
36,45570.06,0.2922,0.3336,3,2,9037.25,24,32186.86,2,360.62,Unemployed,1,623.94
32,119286.87,0.2266,0.546,1,8,24769.09,22,6605.67,3,156.93,Full-time,1,638.85
64,120947.82,0.3498,0.2765,4,17,58967.1,18,8392.82,4,120.18,Full-time,1,590.93
43,83503.66,0.2738,0.1028,1,12,24994.94,38,6649.11,2,447.05,Self-employed,1,748.83
23,53916.79,0.4816,0.0761,3,4,18229.53,98,12166.03,4,615.45,Full-time,1,693.16
44,59411.2,0.3916,0.4723,2,7,51617.31,72,16151.09,3,256.89,Unemployed,1,624.44
42,46079.92,0.381,0.1416,1,17,15480.59,37,32390.09,2,385.62,Self-employed,1,706.13
61,42291.95,0.3257,0.2188,1,9,10325.87,24,17922.33,3,485.15,Full-time,1,692.59
54,41357.65,0.1869,0.2428,2,15,18120.86,11,41615.69,0,1019.81,Full-time,1,692.4
29,50104.97,0.4716,0.4253,0,14,23410.33,114,42200.22,0,835.85,Self-employed,1,697.2
28,41538.48,0.3937,0.3076,1,14,7432.61,149,13825.73,3,108.88,Full-time,1,754.16
49,32739.34,0.3015,0.1885,3,12,19739.22,46,12226.97,4,458.23,Part-time,1,675.76
23,73037.71,0.4018,0.1804,1,3,5393.78,145,3655.22,2,703.2,Full-time,1,780.19
35,73538.77,0.2409,0.1016,0,5,14612.69,130,8422.02,1,488.11,Full-time,0,850.0
27,142252.19,0.418,0.5392,1,1,16161.14,135,6715.78,2,179.28,Full-time,1,677.3
21,48983.94,0.5542,0.2727,3,8,17631.35,54,6969.38,0,259.85,Full-time,1,585.57
64,75602.55,0.3568,0.0801,1,3,4579.72,99,9318.76,6,346.83,Full-time,1,780.44
25,76169.82,0.3197,0.3707,1,11,19348.17,103,20894.35,3,60.97,Full-time,1,722.25
21,59028.35,0.3028,0.2543,1,7,33247.84,94,17094.28,2,859.66,Self-employed,1,748.92
64,92498.72,0.5837,0.6071,1,16,48322.2,134,30949.73,3,124.52,Full-time,1,609.78
29,93793.72,0.2586,0.4092,1,14,49864.17,100,18527.74,2,240.07,Part-time,1,728.45
59,76675.31,0.314,0.185,4,4,18357.03,105,8081.15,3,415.83,Full-time,1,697.05
22,58980.5,0.3565,0.353,4,7,102230.27,139,25423.98,1,185.47,Full-time,1,670.63
28,56337.26,0.1662,0.1914,5,8,10592.94,48,4166.37,1,284.28,Full-time,1,667.29
26,35757.34,0.334,0.4073,2,1,10830.69,119,30656.02,5,766.99,Unemployed,1,697.14
54,46043.28,0.5462,0.3483,2,13,18263.52,123,6968.19,4,924.33,Self-employed,1,651.56
50,50015.92,0.1717,0.166,2,2,32177.72,28,1898.08,1,275.6,Part-time,1,730.32
43,39903.24,0.2577,0.4848,2,14,28290.76,130,21223.14,1,331.05,Unemployed,1,709.82
32,80657.4,0.2785,0.2663,0,8,3436.38,64,10273.57,3,128.29,Full-time,1,753.21
25,113377.99,0.227,0.1546,0,8,9182.07,125,36261.09,3,204.87,Self-employed,1,847.42
47,43974.79,0.2283,0.2233,0,1,30854.3,123,30283.28,2,469.08,Full-time,1,828.18
31,75173.09,0.2733,0.0914,0,11,9681.32,50,5777.55,4,411.23,Full-time,1,786.83
48,41549.88,0.5414,0.3198,3,13,16479.71,100,48756.25,1,561.44,Part-time,1,615.96
53,57686.88,0.2356,0.1839,0,8,23187.58,93,2692.68,2,315.19,Self-employed,1,810.84
60,48501.58,0.229,0.2456,2,5,25299.93,167,19833.7,0,595.75,Part-time,1,809.07
44,86755.84,0.2662,0.1815,1,17,32941.1,33,44842.19,2,465.65,Full-time,1,727.26
21,48754.14,0.64,0.3564,1,9,43905.01,52,5634.74,2,171.78,Unemployed,1,587.23
34,104323.01,0.4239,0.1585,1,12,28079.63,75,80432.1,4,421.77,Full-time,1,720.7
61,59244.35,0.3989,0.2745,1,14,7637.14,130,15333.48,2,712.22,Full-time,1,745.04
46,49398.65,0.5446,0.6147,1,11,27187.34,44,18339.66,1,63.79,Full-time,1,544.61
50,37647.15,0.2843,0.3471,0,10,38454.27,128,36254.82,1,330.52,Unemployed,1,784.6
42,74157.17,0.3242,0.1993,1,12,24771.39,29,19061.03,2,197.11,Full-time,1,702.08
28,98997.34,0.1394,0.1641,2,16,44480.65,136,4332.29,4,447.64,Self-employed,1,830.49
63,74831.53,0.38,0.2401,2,12,21296.25,137,867.79,4,281.42,Full-time,1,740.14
57,181221.31,0.3361,0.4551,2,15,16499.82,116,5827.98,2,483.55,Full-time,1,682.06
67,125920.29,0.4672,0.4343,4,5,9967.5,177,6284.08,2,608.1,Full-time,1,648.76
61,57619.28,0.2108,0.6505,4,3,74909.74,160,5966.17,4,304.49,Full-time,1,657.47
34,57347.68,0.6117,0.1975,1,2,8675.72,124,7803.44,2,442.13,Full-time,1,695.45
32,81745.29,0.6304,0.1602,1,1,17973.44,141,1187.37,3,752.85,Self-employed,1,713.33
32,45382.93,0.2763,0.3388,1,8,14053.07,118,4851.43,1,436.01,Unemployed,1,755.74
64,111840.58,0.1741,0.1386,2,15,7087.3,147,21255.24,0,143.42,Full-time,1,835.62
47,77864.1,0.3057,0.4406,3,2,33581.13,146,32396.7,2,154.93,Full-time,1,694.81
42,74265.85,0.5335,0.4925,0,12,25572.36,81,7191.28,3,284.36,Self-employed,1,634.33
66,90140.89,0.5599,0.238,1,14,21392.26,28,24031.04,3,365.98,Self-employed,1,620.86
49,143669.88,0.5454,0.254,0,16,11624.1,15,1478.83,2,527.79,Part-time,1,635.38
63,71462.63,0.5574,0.2896,1,14,26752.07,54,16807.84,2,310.88,Full-time,1,630.38
67,62889.33,0.2057,0.3028,1,2,15021.24,99,36570.3,1,149.16,Full-time,1,770.09
24,130473.29,0.1864,0.3787,1,3,25253.5,54,20708.77,1,650.98,Unemployed,1,719.41
37,102272.66,0.2357,0.1718,2,17,49281.14,87,13061.99,0,449.09,Full-time,1,758.84
55,57271.54,0.4897,0.4297,2,2,3260.03,38,1528.69,0,168.54,Full-time,1,577.33
59,66325.78,0.5022,0.4934,3,17,36369.63,167,66627.82,0,73.58,Full-time,1,640.16
27,72252.44,0.4632,0.2419,0,17,94980.6,78,69550.79,5,467.59,Part-time,1,715.56
35,77871.54,0.3572,0.3233,1,5,60149.64,122,24240.13,1,342.33,Part-time,1,738.68
46,35937.27,0.1649,0.3291,2,14,30979.82,101,41443.89,1,461.96,Self-employed,1,752.42
58,33053.47,0.2651,0.5442,4,1,42463.69,143,13383.3,3,232.61,Part-time,1,653.59
26,44385.78,0.4487,0.3385,0,3,9949.5,103,25517.84,3,583.03,Self-employed,1,716.6
49,42867.43,0.2451,0.1143,2,7,21337.73,126,27264.11,2,193.59,Self-employed,1,802.9
34,49527.29,0.2839,0.6412,2,4,16236.44,151,12658.57,3,392.08,Part-time,1,680.36
31,88046.45,0.443,0.222,2,8,13003.7,115,6615.83,2,663.03,Full-time,1,707.43
45,61327.39,0.4104,0.1726,0,5,36019.26,115,28107.47,1,463.2,Full-time,1,779.56
40,72285.41,0.4112,0.3158,0,5,15705.3,164,65965.92,1,125.48,Full-time,1,784.36
50,38141.7,0.4012,0.3111,1,7,4924.51,129,38393.73,4,639.82,Unemployed,1,734.36
35,53758.71,0.3859,0.1579,2,1,24512.16,14,17849.45,5,434.49,Full-time,1,656.42
59,86186.25,0.5098,0.1768,0,12,17686.98,144,16718.07,2,544.68,Self-employed,1,772.86
24,86485.2,0.2527,0.425,2,15,29295.59,157,17555.19,6,134.98,Unemployed,1,748.77
61,47759.91,0.3478,0.426,1,7,13537.24,108,1915.54,1,517.69,Full-time,1,704.16
22,71164.41,0.2384,0.1244,1,4,5399.33,145,12204.33,3,146.37,Full-time,1,843.21
55,177989.8,0.1518,0.1179,1,16,9117.45,17,11119.59,1,524.18,Self-employed,0,764.15
37,65649.22,0.336,0.3903,1,15,9502.13,178,4787.53,2,402.04,Part-time,1,774.96
39,48439.26,0.8054,0.197,0,8,8783.7,156,32733.54,3,238.47,Self-employed,1,689.13
21,61194.15,0.3533,0.1564,4,5,12162.77,27,16976.47,3,376.51,Full-time,1,627.41
53,68973.64,0.2848,0.353,2,13,30003.51,119,1444.53,1,186.85,Full-time,1,725.48
28,61819.51,0.2552,0.234,0,15,6857.74,152,16311.46,2,231.31,Self-employed,1,841.61
51,65244.07,0.6035,0.2077,0,1,33460.61,133,39535.86,4,310.89,Unemployed,1,727.86
55,34559.89,0.2973,0.2503,1,5,7414.45,46,8051.22,2,458.7,Self-employed,1,711.57
60,42908.12,0.552,0.2873,3,15,13810.91,43,5591.19,0,220.9,Self-employed,1,573.41
54,61870.52,0.3298,0.2158,1,2,17589.47,13,4466.06,2,345.8,Full-time,1,682.94
35,61428.51,0.1715,0.2869,2,5,14621.11,98,14542.56,0,621.55,Full-time,1,758.49
55,51288.14,0.4528,0.4359,1,14,27870.15,47,7207.0,4,328.91,Full-time,1,619.35
59,61104.69,0.2227,0.5877,2,14,16715.91,104,3827.78,2,319.16,Part-time,1,672.93
35,68013.17,0.1727,0.36,2,5,16158.04,29,52949.26,1,651.72,Self-employed,1,682.36
26,98739.08,0.506,0.3464,1,15,3417.04,75,15887.29,4,264.05,Full-time,1,649.1
62,63281.91,0.2018,0.3202,0,6,23873.57,53,8556.8,2,251.26,Full-time,1,753.58
27,79189.3,0.3581,0.4125,1,4,67175.24,27,55419.51,2,682.93,Part-time,1,636.95
48,51858.8,0.3979,0.3573,1,7,12780.15,164,16867.77,0,424.52,Full-time,1,752.97
32,85600.22,0.3347,0.1617,3,11,28633.74,22,11913.52,1,306.98,Unemployed,1,652.5
26,78360.76,0.4247,0.4781,3,11,10130.73,119,16079.5,1,392.45,Full-time,1,627.23
57,97696.17,0.3624,0.179,2,5,35946.25,80,8524.2,2,297.27,Unemployed,1,713.2
27,91222.53,0.264,0.2365,2,11,25932.83,104,11864.86,0,264.18,Full-time,1,748.34
52,86243.59,0.316,0.4453,0,1,13952.17,51,21948.87,1,81.35,Part-time,1,686.38
53,63304.53,0.3005,0.492,2,2,13323.4,157,55777.24,3,436.46,Self-employed,1,717.68
23,73881.86,0.3245,0.3005,1,5,28331.84,65,8376.94,4,636.88,Full-time,1,706.69
29,106785.67,0.2711,0.2902,0,17,18557.75,162,22782.04,4,358.85,Part-time,1,831.12
58,49343.75,0.5066,0.295,0,12,7616.25,70,3813.61,1,860.47,Full-time,1,682.6
44,49872.07,0.1881,0.1991,1,1,6187.96,173,20537.07,4,356.62,Full-time,1,850.0
26,71800.31,0.5854,0.1777,1,2,27221.74,132,61891.85,3,201.65,Full-time,1,714.96
67,79767.85,0.2271,0.3322,0,15,10570.67,158,13629.93,1,166.46,Full-time,1,830.49
33,45667.95,0.414,0.1328,1,9,18484.61,24,8177.93,1,557.38,Full-time,1,687.6
21,63981.99,0.3161,0.197,2,13,27218.87,147,8502.98,0,312.29,Unemployed,1,778.42
64,63430.53,0.5401,0.2055,0,6,7771.93,130,20158.23,2,130.0,Unemployed,1,744.93
21,24419.17,0.4033,0.2058,0,5,8866.63,8,14060.7,4,170.64,Full-time,1,684.23
47,59945.0,0.4039,0.4602,0,3,56153.51,13,9472.16,2,383.83,Self-employed,1,624.61
67,61648.67,0.3305,0.3289,0,11,13512.87,101,23281.9,2,624.31,Self-employed,1,752.79
48,61566.19,0.2723,0.1566,5,10,36801.75,116,6335.12,1,231.37,Full-time,1,700.83
48,125136.63,0.4861,0.2504,0,10,104306.39,72,27869.64,2,385.04,Full-time,1,701.57
39,38287.96,0.5668,0.217,0,16,21320.71,166,10221.44,3,647.78,Self-employed,1,764.04
26,45657.35,0.4946,0.0999,0,12,9863.31,14,23390.0,1,1084.69,Full-time,1,688.31
47,20424.94,0.3042,0.3499,0,16,19710.77,65,27276.68,0,284.13,Full-time,1,725.43
63,53294.45,0.638,0.4131,0,13,15801.37,19,2562.92,2,264.44,Full-time,1,571.16
25,55379.26,0.4416,0.4029,1,3,18901.49,178,12579.08,5,378.4,Part-time,1,740.13
62,52602.04,0.2924,0.4842,1,9,29791.04,78,3642.21,2,375.79,Full-time,1,681.23
40,108929.35,0.4653,0.2828,0,17,32277.56,8,3067.69,2,583.35,Full-time,1,646.38
46,97467.85,0.5885,0.1327,0,13,4432.26,170,10944.74,1,410.41,Full-time,1,781.94
28,68530.59,0.5714,0.2534,4,2,41479.98,132,17344.97,2,251.16,Full-time,1,625.23
50,56006.56,0.1189,0.2272,3,4,21841.06,83,3593.5,0,247.45,Self-employed,1,751.7
29,105007.32,0.1275,0.2162,2,2,12070.37,108,16825.12,1,297.57,Self-employed,1,797.7
33,65585.44,0.2755,0.173,1,12,30148.94,139,6353.75,2,480.16,Self-employed,1,814.93
54,45788.05,0.2613,0.2584,3,8,8644.46,47,14153.51,2,126.16,Full-time,1,671.18
23,30567.36,0.6067,0.3683,1,8,8931.08,40,114696.93,1,513.05,Full-time,1,584.25
42,54252.72,0.3897,0.4435,1,17,37846.12,153,10201.1,3,124.39,Full-time,1,724.72
48,92928.87,0.2841,0.2378,2,16,18900.0,44,5076.49,1,170.86,Full-time,1,691.99
27,184322.54,0.3531,0.1559,0,2,54034.75,120,13157.86,0,75.59,Unemployed,1,805.09
34,68031.4,0.4878,0.5518,0,15,11155.65,152,11366.13,3,771.4,Full-time,1,692.38
37,46891.42,0.3266,0.1352,2,16,22113.35,13,9959.35,1,392.23,Self-employed,1,679.05
52,38822.9,0.4781,0.2692,0,1,23651.6,54,13754.62,1,455.99,Full-time,1,684.27
66,84827.89,0.3144,0.2534,1,16,23959.53,11,11417.36,1,150.52,Unemployed,1,676.5
